#word,len,pattern,sortedword
bogey,5,ABCDE,begoy
bogeymen,8,ABCDEFDG,beegmnoy
bogged,6,ABCCDE,bdeggo
bogging,7,ABCCDEC,bgggino
boggle,6,ABCCDE,begglo
boggy,5,ABCCD,bggoy
Bogota,6,ABCBDE,Bagoot
bogus,5,ABCDE,bgosu
bogy,4,ABCD,bgoy
Boheme,6,ABCDED,Beehmo
Bohemia,7,ABCDEFG,Baehimo
Bohemian,8,ABCDEFGH,Baehimno
Bohr,4,ABCD,Bhor
boil,4,ABCD,bilo
boilermaker,11,ABCDEFGHIEF,abeeiklmorr
boilerplate,11,ABCDEFGDHIE,abeeilloprt
Boise,5,ABCDE,Beios
boisterous,10,ABCDEFGBHD,beioorsstu
bold,4,ABCD,bdlo
boldface,8,ABCDEFGH,abcdeflo
bolivar,7,ABCDEFG,abilorv
Bolivia,7,ABCDEDF,Baiilov
boll,4,ABCC,bllo
bolo,4,ABCB,bloo
Bologna,7,ABCBDEF,Baglnoo
bolometer,9,ABCBDEFEG,beelmoort
Bolshevik,9,ABCDEFGHI,Behiklosv
Bolshevism,10,ABCDEFGHDI,Behilmossv
Bolshevist,10,ABCDEFGHDI,Behilosstv
Bolshevistic,12,ABCDEFGHDIHJ,Bcehiilosstv
Bolshoi,7,ABCDEBF,Bhiloos
bolster,7,ABCDEFG,belorst
bolt,4,ABCD,blot
bolted,6,ABCDEF,bdelot
Bolton,6,ABCDBE,Blnoot
Boltzmann,9,ABCDEFGHH,Balmnnotz
bomb,4,ABCA,bbmo
bombard,7,ABCADEF,abbdmor
bombardment,11,ABCADEFCGHI,abbdemmnort
bombast,7,ABCADEF,abbmost
bombastic,9,ABCADEFGH,abbcimost
Bombay,6,ABCADE,Babmoy
bombproof,9,ABCADEBBF,bbfmooopr
bona,4,ABCD,abno
bonanza,7,ABCDCED,aabnnoz
Bonaparte,9,ABCDEDFGH,Baaenoprt
Bonaventure,11,ABCDEFCGHIF,Baeennortuv
bond,4,ABCD,bdno
bondage,7,ABCDEFG,abdegno
bondsman,8,ABCDEFGC,abdmnnos
bondsmen,8,ABCDEFGC,bdemnnos
bone,4,ABCD,beno
bonfire,7,ABCDEFG,befinor
bong,4,ABCD,bgno
bongo,5,ABCDB,bgnoo
Bonham,6,ABCDEF,Bahmno
Boniface,8,ABCDEFGH,Bacefino
bonito,6,ABCDEB,binoot
bonjour,7,ABCDBEF,bjnooru
Bonn,4,ABCC,Bnno
bonnet,6,ABCCDE,bennot
bonneted,8,ABCCDEDF,bdeennot
Bonneville,10,ABCCDEFGGD,Beeillnnov
Bonnie,6,ABCCDE,Beinno
bonny,5,ABCCD,bnnoy
